"행정구역(동읍면)별","항목",2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05
"행정구역(동읍면)별","항목",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+,계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+,계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+
"대전광역시","총인구수 (명)",1445519,41097,59655,68169,71513,94310,108504,97075,90314,110801,114641,129729,109919,113527,85699,56599,39459,31435,16175,5514,1191,193,1445214,40973,59339,68083,71325,93923,108516,97605,89986,110840,113850,129847,109802,114031,86025,56736,39593,31479,16296,5569,1204,192,1445221,40828,59126,67962,71249,93703,108547,97883,89882,110869,113063,129979,110149,114140,86163,56942,39827,31494,16396,5622,1199,198
"대전광역시","남자인구수 (명)",721051,21095,30709,35150,36873,48700,57768,51837,46898,55550,56790,64950,54673,55311,41249,26569,17552,12458,5279,1404,207,29,720934,21034,30555,35111,36790,48467,57769,52124,46722,55577,56455,64944,54655,55624,41349,26648,17627,12502,5322,1419,210,30,720874,20942,30428,35074,36800,48255,57723,52303,46695,55605,56138,64994,54781,55689,41414,26761,17733,12501,5357,1440,210,31
"대전광역시","여자인구수 (명)",724468,20002,28946,33019,34640,45610,50736,45238,43416,55251,57851,64779,55246,58216,44450,30030,21907,18977,10896,4110,984,164,724280,19939,28784,32972,34535,45456,50747,45481,43264,55263,57395,64903,55147,58407,44676,30088,21966,18977,10974,4150,994,162,724347,19886,28698,32888,34449,45448,50824,45580,43187,55264,56925,64985,55368,58451,44749,30181,22094,18993,11039,4182,989,167
"울산광역시","총인구수 (명)",1107746,32130,51294,56515,53130,57841,68859,68683,69940,92223,88586,103909,100213,97261,68247,42515,25627,18455,8687,2931,631,69,1107134,31909,50999,56517,53043,57481,68700,68859,69693,92213,88204,103859,99832,97832,68560,42714,25756,18546,8770,2938,639,70,1106446,31669,50767,56457,52968,57013,68542,68933,69472,92263,87519,104026,100015,97886,68862,42972,25991,18608,8804,2968,638,73
"울산광역시","남자인구수 (명)",569131,16411,26462,29335,28139,32544,39260,37808,36801,47815,44933,51703,51273,49590,33877,20935,11827,7267,2479,588,80,4,568824,16295,26334,29322,28039,32403,39153,37929,36734,47703,44819,51682,51043,49876,34078,21004,11919,7314,2502,591,80,4,568518,16150,26177,29340,27952,32160,39057,38033,36637,47751,44539,51722,51116,49938,34162,21180,12052,7342,2530,596,79,5
"울산광역시","여자인구수 (명)",538615,15719,24832,27180,24991,25297,29599,30875,33139,44408,43653,52206,48940,47671,34370,21580,13800,11188,6208,2343,551,65,538310,15614,24665,27195,25004,25078,29547,30930,32959,44510,43385,52177,48789,47956,34482,21710,13837,11232,6268,2347,559,66,537928,15519,24590,27117,25016,24853,29485,30900,32835,44512,42980,52304,48899,47948,34700,21792,13939,11266,6274,2372,559,68
"세종특별자치시","총인구수 (명)",385609,18675,26987,27750,21724,17647,20502,27763,32982,41712,35522,30439,21931,21025,15390,9636,6235,5177,3022,1196,253,41,385825,18517,26923,27760,21847,17659,20448,27818,32860,41753,35441,30626,21913,21178,15455,9674,6264,5157,3044,1191,254,43,386050,18344,26916,27761,21964,17607,20447,27720,32777,41842,35387,30842,21996,21199,15507,9744,6302,5149,3063,1182,256,45
"세종특별자치시","남자인구수 (명)",192212,9417,13754,14099,10851,9211,10277,13527,16248,20432,18123,16127,11300,10533,7594,4693,2798,2026,921,231,44,6,192316,9344,13734,14094,10915,9232,10256,13547,16193,20441,18069,16205,11302,10597,7628,4706,2825,2017,927,234,44,6,192393,9257,13743,14107,10945,9192,10246,13524,16176,20441,18040,16312,11333,10609,7643,4734,2857,2010,936,238,44,6
"세종특별자치시","여자인구수 (명)",193397,9258,13233,13651,10873,8436,10225,14236,16734,21280,17399,14312,10631,10492,7796,4943,3437,3151,2101,965,209,35,193509,9173,13189,13666,10932,8427,10192,14271,16667,21312,17372,14421,10611,10581,7827,4968,3439,3140,2117,957,210,37,193657,9087,13173,13654,11019,8415,10201,14196,16601,21401,17347,14530,10663,10590,7864,5010,3445,3139,2127,944,212,39
"경기도","총인구수 (명)",13603546,420119,607456,674138,651102,781732,938871,939536,936476,1158998,1123019,1234703,1067395,1041043,737693,467360,350558,270793,140961,48869,10852,1872,13607919,417907,605165,673713,650992,778707,938109,943897,933657,1160343,1117567,1237500,1063392,1048379,742222,468985,351776,271416,142092,49256,10931,1913,13612597,416124,603163,673299,651355,775986,936725,946691,931582,1161419,1111968,1240876,1065081,1050083,745738,471517,353662,271963,142781,49645,10996,1943
